Stock,Expiration,DTE,% Distance,Strike,Premium,Delta,Stock Price,SMA 200,% Stock Dist SMA,% Strike Dist SMA,RSI 14,Lower BB,% Strike Dist Lower BB
TSLA,2026-05-22,18,3.0,380.0,9.85,-0.0,390.82,402.4926,-2.9001,-5.5883,56.1443,335.8743,13.1376
TSLA,2026-05-22,18,5.0,370.0,6.55,-0.0,390.82,402.4926,-2.9001,-8.0728,56.1443,335.8743,10.1603
TSLA,2026-05-22,18,8.0,360.0,4.21,-0.0,390.82,402.4926,-2.9001,-10.5574,56.1443,335.8743,7.183
TSLA,2026-05-22,18,10.0,350.0,2.63,-0.0,390.82,402.4926,-2.9001,-13.0419,56.1443,335.8743,4.2057
TSLA,2026-05-22,18,15.0,330.0,1.08,-0.0,390.82,402.4926,-2.9001,-18.0109,56.1443,335.8743,-1.749
TSLA,2026-05-22,18,20.0,315.0,0.63,-0.0,390.82,402.4926,-2.9001,-21.7377,56.1443,335.8743,-6.2149
TSLA,2026-05-29,25,3.0,380.0,11.77,-0.0001,390.82,402.4926,-2.9001,-5.5883,56.1443,335.8743,13.1376
TSLA,2026-05-29,25,5.0,370.0,8.15,-0.0002,390.82,402.4926,-2.9001,-8.0728,56.1443,335.8743,10.1603
TSLA,2026-05-29,25,8.0,360.0,5.6,-0.0,390.82,402.4926,-2.9001,-10.5574,56.1443,335.8743,7.183
TSLA,2026-05-29,25,10.0,350.0,3.7,-0.0,390.82,402.4926,-2.9001,-13.0419,56.1443,335.8743,4.2057
TSLA,2026-05-29,25,15.0,330.0,1.66,-0.0,390.82,402.4926,-2.9001,-18.0109,56.1443,335.8743,-1.749
TSLA,2026-05-29,25,20.0,315.0,0.91,-0.0,390.82,402.4926,-2.9001,-21.7377,56.1443,335.8743,-6.2149
TSLA,2026-06-05,32,3.0,380.0,13.95,-0.0,390.82,402.4926,-2.9001,-5.5883,56.1443,335.8743,13.1376
TSLA,2026-06-05,32,5.0,370.0,10.1,-0.0,390.82,402.4926,-2.9001,-8.0728,56.1443,335.8743,10.1603
TSLA,2026-06-05,32,8.0,360.0,6.75,-0.0,390.82,402.4926,-2.9001,-10.5574,56.1443,335.8743,7.183
TSLA,2026-06-05,32,10.0,350.0,5.07,-0.0,390.82,402.4926,-2.9001,-13.0419,56.1443,335.8743,4.2057
TSLA,2026-06-05,32,15.0,330.0,2.47,-0.0,390.82,402.4926,-2.9001,-18.0109,56.1443,335.8743,-1.749
TSLA,2026-06-05,32,20.0,315.0,1.37,-0.0,390.82,402.4926,-2.9001,-21.7377,56.1443,335.8743,-6.2149
TSLA,2026-06-12,39,3.0,380.0,15.52,-0.0,390.82,402.4926,-2.9001,-5.5883,56.1443,335.8743,13.1376
TSLA,2026-06-12,39,5.0,370.0,11.75,-0.0,390.82,402.4926,-2.9001,-8.0728,56.1443,335.8743,10.1603
TSLA,2026-06-12,39,8.0,360.0,8.65,-0.0,390.82,402.4926,-2.9001,-10.5574,56.1443,335.8743,7.183
